date,crisis_shelters,transitional_independent_living_hya,transitional_independent_living_til,crisis_shelters_hya
2019-07-01,81.71000000000001,0,81.11,NA
2019-07-02,82.93,0,81.56,NA
2019-07-03,81.3,0,81.33,NA
2019-07-04,80.89,0,81.56,NA
2019-07-05,83.33,0,81.56,NA
2019-07-06,82.52,0,81.56,NA
2019-07-07,83.33,0,81.56,NA
2019-07-08,79.67,0,81.11,NA
2019-07-09,83.33,0,80.89,NA
2019-07-10,84.96000000000001,0,80.67,NA
2019-07-11,84.96000000000001,0,80.22,NA
2019-07-12,86.59,0,72.99,NA
2019-07-13,86.18,0,72.58,NA
2019-07-14,85.77,0,72.58,NA
2019-07-15,85.37,0,71.49,NA
2019-07-16,83.74,0,72.51,NA
2019-07-17,84.96000000000001,0,73.93,NA
2019-07-18,84.55,0,73.93,NA
2019-07-19,88.21000000000001,0,74.34,NA
2019-07-20,87.4,0,74.53999999999999,NA
2019-07-21,87.4,0,74.53999999999999,NA
2019-07-22,87.8,0,74.75,NA
2019-07-23,86.99,0,74.53999999999999,NA
2019-07-24,85.77,0,74.95,NA
2019-07-25,84.15,0,74.95,NA
2019-07-26,88.21000000000001,0,75.56,NA
2019-07-27,86.99,0,75.76,NA
2019-07-28,85.37,0,75.76,NA
2019-07-29,86.59,0,75.56,NA
2019-07-30,85.37,0,75.15,NA
2019-07-31,86.59,0,74.75,NA
2019-08-01,86.18,0,74.75,NA
2019-08-02,85.77,0,74.95,NA
2019-08-03,83.74,0,75.56,NA
2019-08-04,83.74,0,75.36,NA
2019-08-05,84.15,0,75.36,NA
2019-08-06,84.15,0,74.95,NA
2019-08-07,82.52,0,75.76,NA
2019-08-08,82.93,0,75.86,NA
2019-08-09,82.52,0,75.66,NA
2019-08-10,82.93,0,75.05,NA
2019-08-11,83.74,0,74.44,NA
2019-08-12,82.52,0,74.03999999999999,NA
2019-08-13,82.11,0,75.05,NA
2019-08-14,85.37,0,74.85,NA
2019-08-15,84.15,0,73.63,NA
2019-08-16,84.96000000000001,0,73.63,NA
2019-08-17,84.55,0,74.03999999999999,NA
2019-08-18,85.77,0,73.23,NA
