date,program_type,vacancies_per_day,beds_per_day,percent_vacant_per_day,year,month,day,percent_occupied_per_day
2019-07-01,Transitional Independent Living (HYA),25,25,100,2019,7,1,0
2019-07-02,Transitional Independent Living (HYA),25,25,100,2019,7,2,0
2019-07-03,Transitional Independent Living (HYA),25,25,100,2019,7,3,0
2019-07-04,Transitional Independent Living (HYA),25,25,100,2019,7,4,0
2019-07-05,Transitional Independent Living (HYA),25,25,100,2019,7,5,0
2019-07-06,Transitional Independent Living (HYA),25,25,100,2019,7,6,0
2019-07-07,Transitional Independent Living (HYA),25,25,100,2019,7,7,0
2019-07-08,Transitional Independent Living (HYA),25,25,100,2019,7,8,0
2019-07-09,Transitional Independent Living (HYA),25,25,100,2019,7,9,0
2019-07-10,Transitional Independent Living (HYA),25,25,100,2019,7,10,0
2019-07-11,Transitional Independent Living (HYA),25,25,100,2019,7,11,0
2019-07-12,Transitional Independent Living (HYA),25,25,100,2019,7,12,0
2019-07-13,Transitional Independent Living (HYA),25,25,100,2019,7,13,0
2019-07-14,Transitional Independent Living (HYA),25,25,100,2019,7,14,0
2019-07-15,Transitional Independent Living (HYA),25,25,100,2019,7,15,0
2019-07-16,Transitional Independent Living (HYA),25,25,100,2019,7,16,0
2019-07-17,Transitional Independent Living (HYA),25,25,100,2019,7,17,0
2019-07-18,Transitional Independent Living (HYA),25,25,100,2019,7,18,0
2019-07-19,Transitional Independent Living (HYA),25,25,100,2019,7,19,0
2019-07-20,Transitional Independent Living (HYA),25,25,100,2019,7,20,0
2019-07-21,Transitional Independent Living (HYA),25,25,100,2019,7,21,0
2019-07-22,Transitional Independent Living (HYA),25,25,100,2019,7,22,0
2019-07-23,Transitional Independent Living (HYA),25,25,100,2019,7,23,0
2019-07-24,Transitional Independent Living (HYA),25,25,100,2019,7,24,0
2019-07-25,Transitional Independent Living (HYA),25,25,100,2019,7,25,0
2019-07-26,Transitional Independent Living (HYA),25,25,100,2019,7,26,0
2019-07-27,Transitional Independent Living (HYA),25,25,100,2019,7,27,0
2019-07-28,Transitional Independent Living (HYA),25,25,100,2019,7,28,0
2019-07-29,Transitional Independent Living (HYA),25,25,100,2019,7,29,0
2019-07-30,Transitional Independent Living (HYA),25,25,100,2019,7,30,0
2019-07-31,Transitional Independent Living (HYA),25,25,100,2019,7,31,0
2019-08-01,Transitional Independent Living (HYA),25,25,100,2019,8,1,0
2019-08-02,Transitional Independent Living (HYA),25,25,100,2019,8,2,0
