date,program_type,vacancies_per_day,beds_per_day,percent_vacant_per_day,year,month,day,percent_occupied_per_day
2019-07-01,Transitional Independent Living (TIL),85,450,18.89,2019,7,1,81.11
2019-07-02,Transitional Independent Living (TIL),83,450,18.44,2019,7,2,81.56
2019-07-03,Transitional Independent Living (TIL),84,450,18.67,2019,7,3,81.33
2019-07-04,Transitional Independent Living (TIL),83,450,18.44,2019,7,4,81.56
2019-07-05,Transitional Independent Living (TIL),83,450,18.44,2019,7,5,81.56
2019-07-06,Transitional Independent Living (TIL),83,450,18.44,2019,7,6,81.56
2019-07-07,Transitional Independent Living (TIL),83,450,18.44,2019,7,7,81.56
2019-07-08,Transitional Independent Living (TIL),85,450,18.89,2019,7,8,81.11
2019-07-09,Transitional Independent Living (TIL),86,450,19.11,2019,7,9,80.89
2019-07-10,Transitional Independent Living (TIL),87,450,19.33,2019,7,10,80.67
2019-07-11,Transitional Independent Living (TIL),89,450,19.78,2019,7,11,80.22
2019-07-12,Transitional Independent Living (TIL),131,485,27.01,2019,7,12,72.99
2019-07-13,Transitional Independent Living (TIL),133,485,27.42,2019,7,13,72.58
2019-07-14,Transitional Independent Living (TIL),133,485,27.42,2019,7,14,72.58
2019-07-15,Transitional Independent Living (TIL),140,491,28.51,2019,7,15,71.49
2019-07-16,Transitional Independent Living (TIL),135,491,27.49,2019,7,16,72.51
2019-07-17,Transitional Independent Living (TIL),128,491,26.07,2019,7,17,73.93
2019-07-18,Transitional Independent Living (TIL),128,491,26.07,2019,7,18,73.93
2019-07-19,Transitional Independent Living (TIL),126,491,25.66,2019,7,19,74.34
2019-07-20,Transitional Independent Living (TIL),125,491,25.46,2019,7,20,74.53999999999999
2019-07-21,Transitional Independent Living (TIL),125,491,25.46,2019,7,21,74.53999999999999
2019-07-22,Transitional Independent Living (TIL),124,491,25.25,2019,7,22,74.75
2019-07-23,Transitional Independent Living (TIL),125,491,25.46,2019,7,23,74.53999999999999
2019-07-24,Transitional Independent Living (TIL),123,491,25.05,2019,7,24,74.95
2019-07-25,Transitional Independent Living (TIL),123,491,25.05,2019,7,25,74.95
2019-07-26,Transitional Independent Living (TIL),120,491,24.44,2019,7,26,75.56
2019-07-27,Transitional Independent Living (TIL),119,491,24.24,2019,7,27,75.76
2019-07-28,Transitional Independent Living (TIL),119,491,24.24,2019,7,28,75.76
2019-07-29,Transitional Independent Living (TIL),120,491,24.44,2019,7,29,75.56
2019-07-30,Transitional Independent Living (TIL),122,491,24.85,2019,7,30,75.15
2019-07-31,Transitional Independent Living (TIL),124,491,25.25,2019,7,31,74.75
2019-08-01,Transitional Independent Living (TIL),124,491,25.25,2019,8,1,74.75
2019-08-02,Transitional Independent Living (TIL),123,491,25.05,2019,8,2,74.95
2019-08-03,Transitional Independent Living (TIL),120,491,24.44,2019,8,3,75.56
2019-08-04,Transitional Independent Living (TIL),121,491,24.64,2019,8,4,75.36
2019-08-05,Transitional Independent Living (TIL),121,491,24.64,2019,8,5,75.36
2019-08-06,Transitional Independent Living (TIL),123,491,25.05,2019,8,6,74.95
2019-08-07,Transitional Independent Living (TIL),119,491,24.24,2019,8,7,75.76
2019-08-08,Transitional Independent Living (TIL),119,493,24.14,2019,8,8,75.86
2019-08-09,Transitional Independent Living (TIL),120,493,24.34,2019,8,9,75.66
2019-08-10,Transitional Independent Living (TIL),123,493,24.95,2019,8,10,75.05
2019-08-11,Transitional Independent Living (TIL),126,493,25.56,2019,8,11,74.44
2019-08-12,Transitional Independent Living (TIL),128,493,25.96,2019,8,12,74.03999999999999
2019-08-13,Transitional Independent Living (TIL),123,493,24.95,2019,8,13,75.05
2019-08-14,Transitional Independent Living (TIL),124,493,25.15,2019,8,14,74.85
2019-08-15,Transitional Independent Living (TIL),130,493,26.37,2019,8,15,73.63
2019-08-16,Transitional Independent Living (TIL),130,493,26.37,2019,8,16,73.63
2019-08-17,Transitional Independent Living (TIL),128,493,25.96,2019,8,17,74.03999999999999
2019-08-18,Transitional Independent Living (TIL),132,493,26.77,2019,8,18,73.23
2019-08-19,Transitional Independent Living (TIL),133,493,26.98,2019,8,19,73.02
2019-08-20,Transitional Independent Living (TIL),131,493,26.57,2019,8,20,73.43
2019-08-21,Transitional Independent Living (TIL),130,493,26.37,2019,8,21,73.63
2019-08-22,Transitional Independent Living (TIL),121,493,24.54,2019,8,22,75.46000000000001
2019-08-23,Transitional Independent Living (TIL),116,493,23.53,2019,8,23,76.47
2019-08-24,Transitional Independent Living (TIL),116,493,23.53,2019,8,24,76.47
2019-08-25,Transitional Independent Living (TIL),117,493,23.73,2019,8,25,76.27
2019-08-26,Transitional Independent Living (TIL),113,493,22.92,2019,8,26,77.08
2019-08-27,Transitional Independent Living (TIL),108,493,21.91,2019,8,27,78.09
2019-08-28,Transitional Independent Living (TIL),108,493,21.91,2019,8,28,78.09
2019-08-29,Transitional Independent Living (TIL),108,493,21.91,2019,8,29,78.09
2019-08-30,Transitional Independent Living (TIL),104,493,21.1,2019,8,30,78.9
2019-08-31,Transitional Independent Living (TIL),105,493,21.3,2019,8,31,78.7
2019-09-01,Transitional Independent Living (TIL),107,493,21.7,2019,9,1,78.3
2019-09-02,Transitional Independent Living (TIL),108,493,21.91,2019,9,2,78.09
2019-09-03,Transitional Independent Living (TIL),110,493,22.31,2019,9,3,77.69
2019-09-04,Transitional Independent Living (TIL),112,493,22.72,2019,9,4,77.28
2019-09-05,Transitional Independent Living (TIL),114,493,23.12,2019,9,5,76.88
2019-09-06,Transitional Independent Living (TIL),113,493,22.92,2019,9,6,77.08
2019-09-07,Transitional Independent Living (TIL),111,493,22.52,2019,9,7,77.48
2019-09-08,Transitional Independent Living (TIL),111,493,22.52,2019,9,8,77.48
2019-09-09,Transitional Independent Living (TIL),112,493,22.72,2019,9,9,77.28
2019-09-10,Transitional Independent Living (TIL),116,493,23.53,2019,9,10,76.47
2019-09-11,Transitional Independent Living (TIL),112,493,22.72,2019,9,11,77.28
2019-09-12,Transitional Independent Living (TIL),114,493,23.12,2019,9,12,76.88
2019-09-13,Transitional Independent Living (TIL),114,493,23.12,2019,9,13,76.88
2019-09-14,Transitional Independent Living (TIL),113,493,22.92,2019,9,14,77.08
2019-09-15,Transitional Independent Living (TIL),112,493,22.72,2019,9,15,77.28
2019-09-16,Transitional Independent Living (TIL),110,493,22.31,2019,9,16,77.69
2019-09-17,Transitional Independent Living (TIL),112,493,22.72,2019,9,17,77.28
2019-09-18,Transitional Independent Living (TIL),111,493,22.52,2019,9,18,77.48
2019-09-19,Transitional Independent Living (TIL),107,493,21.7,2019,9,19,78.3
2019-09-20,Transitional Independent Living (TIL),105,493,21.3,2019,9,20,78.7
2019-09-21,Transitional Independent Living (TIL),104,493,21.1,2019,9,21,78.9
2019-09-22,Transitional Independent Living (TIL),106,493,21.5,2019,9,22,78.5
2019-09-23,Transitional Independent Living (TIL),108,493,21.91,2019,9,23,78.09
2019-09-24,Transitional Independent Living (TIL),109,493,22.11,2019,9,24,77.89
2019-09-25,Transitional Independent Living (TIL),103,493,20.89,2019,9,25,79.11
2019-09-26,Transitional Independent Living (TIL),104,493,21.1,2019,9,26,78.9
2019-09-27,Transitional Independent Living (TIL),106,493,21.5,2019,9,27,78.5
2019-09-28,Transitional Independent Living (TIL),109,493,22.11,2019,9,28,77.89
2019-09-29,Transitional Independent Living (TIL),108,493,21.91,2019,9,29,78.09
2019-09-30,Transitional Independent Living (TIL),107,493,21.7,2019,9,30,78.3
2019-10-01,Transitional Independent Living (TIL),109,493,22.11,2019,10,1,77.89
2019-10-02,Transitional Independent Living (TIL),108,493,21.91,2019,10,2,78.09
2019-10-03,Transitional Independent Living (TIL),107,493,21.7,2019,10,3,78.3
2019-10-04,Transitional Independent Living (TIL),107,493,21.7,2019,10,4,78.3
2019-10-05,Transitional Independent Living (TIL),107,493,21.7,2019,10,5,78.3
2019-10-06,Transitional Independent Living (TIL),107,493,21.7,2019,10,6,78.3
2019-10-07,Transitional Independent Living (TIL),108,493,21.91,2019,10,7,78.09
2019-10-08,Transitional Independent Living (TIL),109,493,22.11,2019,10,8,77.89
2019-10-09,Transitional Independent Living (TIL),103,493,20.89,2019,10,9,79.11
2019-10-10,Transitional Independent Living (TIL),103,493,20.89,2019,10,10,79.11
2019-10-11,Transitional Independent Living (TIL),100,493,20.28,2019,10,11,79.72
2019-10-12,Transitional Independent Living (TIL),99,493,20.08,2019,10,12,79.92
2019-10-13,Transitional Independent Living (TIL),98,493,19.88,2019,10,13,80.12
2019-10-14,Transitional Independent Living (TIL),98,493,19.88,2019,10,14,80.12
2019-10-15,Transitional Independent Living (TIL),99,493,20.08,2019,10,15,79.92
2019-10-16,Transitional Independent Living (TIL),97,493,19.68,2019,10,16,80.32
2019-10-17,Transitional Independent Living (TIL),97,493,19.68,2019,10,17,80.32
2019-10-18,Transitional Independent Living (TIL),94,493,19.07,2019,10,18,80.93
2019-10-19,Transitional Independent Living (TIL),93,493,18.86,2019,10,19,81.14
2019-10-20,Transitional Independent Living (TIL),93,493,18.86,2019,10,20,81.14
2019-10-21,Transitional Independent Living (TIL),93,493,18.86,2019,10,21,81.14
2019-10-22,Transitional Independent Living (TIL),94,493,19.07,2019,10,22,80.93
2019-10-23,Transitional Independent Living (TIL),98,493,19.88,2019,10,23,80.12
2019-10-24,Transitional Independent Living (TIL),96,493,19.47,2019,10,24,80.53
2019-10-25,Transitional Independent Living (TIL),99,493,20.08,2019,10,25,79.92
2019-10-26,Transitional Independent Living (TIL),98,493,19.88,2019,10,26,80.12
2019-10-27,Transitional Independent Living (TIL),98,493,19.88,2019,10,27,80.12
2019-10-28,Transitional Independent Living (TIL),101,493,20.49,2019,10,28,79.51
2019-10-29,Transitional Independent Living (TIL),99,493,20.08,2019,10,29,79.92
2019-10-30,Transitional Independent Living (TIL),100,493,20.28,2019,10,30,79.72
2019-10-31,Transitional Independent Living (TIL),101,493,20.49,2019,10,31,79.51
2019-11-01,Transitional Independent Living (TIL),102,493,20.69,2019,11,1,79.31
2019-11-02,Transitional Independent Living (TIL),101,493,20.49,2019,11,2,79.51
2019-11-03,Transitional Independent Living (TIL),101,493,20.49,2019,11,3,79.51
2019-11-04,Transitional Independent Living (TIL),110,493,22.31,2019,11,4,77.69
2019-11-05,Transitional Independent Living (TIL),111,493,22.52,2019,11,5,77.48
2019-11-06,Transitional Independent Living (TIL),106,493,21.5,2019,11,6,78.5
2019-11-07,Transitional Independent Living (TIL),107,493,21.7,2019,11,7,78.3
2019-11-08,Transitional Independent Living (TIL),106,493,21.5,2019,11,8,78.5
2019-11-09,Transitional Independent Living (TIL),106,493,21.5,2019,11,9,78.5
2019-11-10,Transitional Independent Living (TIL),106,493,21.5,2019,11,10,78.5
2019-11-11,Transitional Independent Living (TIL),102,493,20.69,2019,11,11,79.31
2019-11-12,Transitional Independent Living (TIL),104,493,21.1,2019,11,12,78.9
2019-11-13,Transitional Independent Living (TIL),100,493,20.28,2019,11,13,79.72
2019-11-14,Transitional Independent Living (TIL),96,493,19.47,2019,11,14,80.53
2019-11-15,Transitional Independent Living (TIL),96,493,19.47,2019,11,15,80.53
2019-11-16,Transitional Independent Living (TIL),94,493,19.07,2019,11,16,80.93
2019-11-17,Transitional Independent Living (TIL),93,493,18.86,2019,11,17,81.14
2019-11-18,Transitional Independent Living (TIL),96,493,19.47,2019,11,18,80.53
2019-11-19,Transitional Independent Living (TIL),96,493,19.47,2019,11,19,80.53
2019-11-20,Transitional Independent Living (TIL),95,493,19.27,2019,11,20,80.73
2019-11-21,Transitional Independent Living (TIL),90,493,18.26,2019,11,21,81.74
2019-11-22,Transitional Independent Living (TIL),86,493,17.44,2019,11,22,82.56
2019-11-23,Transitional Independent Living (TIL),83,493,16.84,2019,11,23,83.16
2019-11-24,Transitional Independent Living (TIL),83,493,16.84,2019,11,24,83.16
2019-11-25,Transitional Independent Living (TIL),81,493,16.43,2019,11,25,83.57
2019-11-26,Transitional Independent Living (TIL),81,493,16.43,2019,11,26,83.57
2019-11-27,Transitional Independent Living (TIL),75,493,15.21,2019,11,27,84.78999999999999
2019-11-28,Transitional Independent Living (TIL),79,493,16.02,2019,11,28,83.98
2019-11-29,Transitional Independent Living (TIL),80,493,16.23,2019,11,29,83.77
2019-11-30,Transitional Independent Living (TIL),83,493,16.84,2019,11,30,83.16
2019-12-01,Transitional Independent Living (TIL),85,493,17.24,2019,12,1,82.76
2019-12-02,Transitional Independent Living (TIL),90,493,18.26,2019,12,2,81.74
2019-12-03,Transitional Independent Living (TIL),88,493,17.85,2019,12,3,82.15
2019-12-04,Transitional Independent Living (TIL),86,493,17.44,2019,12,4,82.56
2019-12-05,Transitional Independent Living (TIL),87,493,17.65,2019,12,5,82.35
2019-12-06,Transitional Independent Living (TIL),85,493,17.24,2019,12,6,82.76
2019-12-07,Transitional Independent Living (TIL),87,493,17.65,2019,12,7,82.35
2019-12-08,Transitional Independent Living (TIL),85,493,17.24,2019,12,8,82.76
2019-12-09,Transitional Independent Living (TIL),82,493,16.63,2019,12,9,83.37
2019-12-10,Transitional Independent Living (TIL),81,493,16.43,2019,12,10,83.57
2019-12-11,Transitional Independent Living (TIL),77,493,15.62,2019,12,11,84.38
2019-12-12,Transitional Independent Living (TIL),73,493,14.81,2019,12,12,85.19
2019-12-13,Transitional Independent Living (TIL),76,493,15.42,2019,12,13,84.58
2019-12-14,Transitional Independent Living (TIL),75,493,15.21,2019,12,14,84.78999999999999
2019-12-15,Transitional Independent Living (TIL),72,493,14.6,2019,12,15,85.4
2019-12-16,Transitional Independent Living (TIL),72,493,14.6,2019,12,16,85.4
2019-12-17,Transitional Independent Living (TIL),66,493,13.39,2019,12,17,86.61
2019-12-18,Transitional Independent Living (TIL),68,493,13.79,2019,12,18,86.21000000000001
2019-12-19,Transitional Independent Living (TIL),68,493,13.79,2019,12,19,86.21000000000001
2019-12-20,Transitional Independent Living (TIL),69,493,14,2019,12,20,86
2019-12-21,Transitional Independent Living (TIL),69,493,14,2019,12,21,86
2019-12-22,Transitional Independent Living (TIL),68,493,13.79,2019,12,22,86.21000000000001
